classe;descricao
1;Substâncias químicas
2;Tintas, vernizes, lacas
3;Preparações cosméticas
4;Graxas e óleos industriais
5;Preparações farmacêuticas
6;Metais comuns
7;Máquinas
8;Ferramentas
9;Aparelhos
10;Instrumentos cirurgios
11;Iluminação e Aquecimento
12;Veiculos
13;Armas de Fogo
14;Metais preciosos
15;Instrumentos musicais
16;Papel e Papelão
17;Borracha
18;Couro
19;Materiais não metalicos
20;Móveis
21;Utensílios domesticos
22;cordas e cordéis
23;fios e linhas
24;tecidos
25;vestuario
26;rendas
27;carpetes
28;jogos
29;carne
30;condimentos
31;produtos agrícolas
32;Bebidas
33;Bebidas alcoólicas
34;Tabaco
